trainer_key,class_key,party_slot,species_key,form_key,level,move1_key,move2_key,move3_key,move4_key,item_key,ability_key,ability_policy,nature_key,ev_spread_key,iv_floor,ai_profile_key,trainer_role,unlock_key,mechanic_policy,difficulty_policy,warning_key,status,notes
TRAINER_KEY_TOHOKU_REMATCH_01,TRAINER_CLASS_TOHOKU_REMATCH_01,1,SPECIES_KEY_LOKIX,NONE,78,MOVE_KEY_STICKYWEB,MOVE_KEY_FIRSTIMPRESSION,MOVE_KEY_SUCKERPUNCH,MOVE_KEY_UTURN,ITEM_KEY_FOCUS_SASH,ABILITY_KEY_TINTEDLENS,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,先発・設置
TRAINER_KEY_TOHOKU_REMATCH_01,TRAINER_CLASS_TOHOKU_REMATCH_01,2,SPECIES_KEY_RIBOMBEE,NONE,79,MOVE_KEY_MOONBLAST,MOVE_KEY_POLLENPUFF,MOVE_KEY_TAILWIND,MOVE_KEY_STUNSPORE,ITEM_KEY_COVERT_CLOAK,ABILITY_KEY_SHIELDDUST,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,速度支援
TRAINER_KEY_TOHOKU_REMATCH_01,TRAINER_CLASS_TOHOKU_REMATCH_01,3,SPECIES_KEY_ARAQUANID,NONE,80,MOVE_KEY_LIQUIDATION,MOVE_KEY_LEECHLIFE,MOVE_KEY_WIDEGUARD,MOVE_KEY_MIRRORCOAT,ITEM_KEY_MYSTIC_WATER,ABILITY_KEY_WATERBUBBLE,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,特殊受け
TRAINER_KEY_TOHOKU_REMATCH_01,TRAINER_CLASS_TOHOKU_REMATCH_01,4,SPECIES_KEY_FROSMOTH,NONE,81,MOVE_KEY_QUIVERDANCE,MOVE_KEY_ICEBEAM,MOVE_KEY_BUGBUZZ,MOVE_KEY_GIGADRAIN,ITEM_KEY_HEAVY_DUTY_BOOTS,ABILITY_KEY_ICESCALES,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,積みエース
TRAINER_KEY_TOHOKU_REMATCH_01,TRAINER_CLASS_TOHOKU_REMATCH_01,5,SPECIES_KEY_KLEAVOR,NONE,82,MOVE_KEY_STONEAXE,MOVE_KEY_XSCISSOR,MOVE_KEY_NIGHTSLASH,MOVE_KEY_QUICKATTACK,ITEM_KEY_LIFE_ORB,ABILITY_KEY_SHARPNESS,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,削り・岩設置
TRAINER_KEY_TOHOKU_REMATCH_01,TRAINER_CLASS_TOHOKU_REMATCH_01,6,SPECIES_KEY_SCIZOR,NONE,84,MOVE_KEY_BULLETPUNCH,MOVE_KEY_XSCISSOR,MOVE_KEY_SWORDSDANCE,MOVE_KEY_ROOST,ITEM_KEY_SCIZORITE,ABILITY_KEY_TECHNICIAN,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,メガ切り札
TRAINER_KEY_TOHOKU_REMATCH_02,TRAINER_CLASS_TOHOKU_REMATCH_02,1,SPECIES_KEY_CLODSIRE,NONE,81,MOVE_KEY_TOXIC,MOVE_KEY_EARTHQUAKE,MOVE_KEY_RECOVER,MOVE_KEY_STEALTHROCK,ITEM_KEY_BLACK_SLUDGE,ABILITY_KEY_WATERABSORB,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,受け・設置
TRAINER_KEY_TOHOKU_REMATCH_02,TRAINER_CLASS_TOHOKU_REMATCH_02,2,SPECIES_KEY_SANDACONDA,NONE,82,MOVE_KEY_GLARE,MOVE_KEY_EARTHQUAKE,MOVE_KEY_STONEEDGE,MOVE_KEY_COIL,ITEM_KEY_SMOOTH_ROCK,ABILITY_KEY_SANDSPIT,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,砂始動
TRAINER_KEY_TOHOKU_REMATCH_02,TRAINER_CLASS_TOHOKU_REMATCH_02,3,SPECIES_KEY_TOEDSCRUEL,NONE,83,MOVE_KEY_EARTHPOWER,MOVE_KEY_SPORE,MOVE_KEY_GIGADRAIN,MOVE_KEY_RAPIDSPIN,ITEM_KEY_LEFTOVERS,ABILITY_KEY_MYCELIUMMIGHT,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,妨害・除去
TRAINER_KEY_TOHOKU_REMATCH_02,TRAINER_CLASS_TOHOKU_REMATCH_02,4,SPECIES_KEY_EXCADRILL,NONE,84,MOVE_KEY_EARTHQUAKE,MOVE_KEY_IRONHEAD,MOVE_KEY_ROCKSLIDE,MOVE_KEY_SWORDSDANCE,ITEM_KEY_AIR_BALLOON,ABILITY_KEY_SANDRUSH,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,BOSS,VEGA_HALL_OF_FAME,NONE,STORY_CURVE,WARNING_NONE,ACTIVE,砂エース
