reward_key,encounter_key,reward_kind,item_or_currency_key,amount,unlock_expression,repeatability,claim_state_key,atomicity_policy,script_key,status,notes
REWARD_KANTO_BOSS_GYM_01,ENC_KANTO_BOSS_GYM_01,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_01,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::PewterCity_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_GYM_02,ENC_KANTO_BOSS_GYM_02,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_02,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::CeruleanCity_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_GYM_03,ENC_KANTO_BOSS_GYM_03,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_03,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::VermilionCity_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_GYM_04,ENC_KANTO_BOSS_GYM_04,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_04,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::CeladonCity_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_GYM_05,ENC_KANTO_BOSS_GYM_05,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_05,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::FuchsiaCity_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_GYM_06,ENC_KANTO_BOSS_GYM_06,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_06,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::SaffronCity_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_GYM_07,ENC_KANTO_BOSS_GYM_07,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_07,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::CinnabarIsland_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_GYM_08,ENC_KANTO_BOSS_GYM_08,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_GYM_08,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::ViridianCity_Gym,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_LEAGUE_01,ENC_KANTO_BOSS_LEAGUE_01,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_LEAGUE_01,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::PokemonLeague_LoreleisRoom,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_LEAGUE_02,ENC_KANTO_BOSS_LEAGUE_02,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_LEAGUE_02,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::PokemonLeague_BrunosRoom,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
REWARD_KANTO_BOSS_LEAGUE_03,ENC_KANTO_BOSS_LEAGUE_03,SCRIPT_OWNED_PROGRESSION_REWARD,PRESERVE_EXISTING_EVENT_REWARD,0,TRUE,ONCE_OR_EXISTING_EVENT_POLICY,CLAIM_REWARD_KANTO_BOSS_LEAGUE_03,BATTLE_RESULT_COMMIT_THEN_REWARD;RESET_SAFE,progress::PokemonLeague_AgathasRoom,EXISTING_ROM_VERIFIED,No new item is granted by party serializer; existing story reward owner remains authoritative.
