encounter_key,task_id,decision,notes
ENC_KANTO_BOSS_GYM_01,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_PEWTER_CITY_GYM(ニビ博物館・化石研究室); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_NORTH_WEST_CERT_1_3; source_size=6->6; AI=AI_FULL_SMART; gimmick=NONE; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_GYM_02,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_CERULEAN_CITY_GYM(ハナダのどうくつ); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_NORTH_WEST_CERT_1_3; source_size=6->6; AI=AI_FULL_SMART; gimmick=NONE; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_GYM_03,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_VERMILION_CITY_GYM(クチバ港・連絡船ターミナル); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_CENTRAL_CERT_3_5; source_size=6->6; AI=AI_FULL_SMART; gimmick=NONE; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_GYM_04,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_CELADON_CITY_GYM(タマムシ温室); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_CENTRAL_CERT_3_5; source_size=6->6; AI=AI_FULL_SMART; gimmick=NONE; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_GYM_05,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_FUCHSIA_CITY_GYM(サファリゾーン中央); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_EAST_ISLAND_CERT_5_7; source_size=6->6; AI=AI_FULL_SMART; gimmick=MEGA; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_GYM_06,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_SAFFRON_CITY_GYM(シルフカンパニー); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_EAST_ISLAND_CERT_5_7; source_size=6->6; AI=AI_FULL_SMART; gimmick=MEGA; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_GYM_07,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_CINNABAR_ISLAND_GYM(グレン研究所); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_LEAGUE_APPROACH_CERT_8; source_size=6->6; AI=AI_FULL_SMART; gimmick=MEGA; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_GYM_08,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_INDOOR_VIRIDIAN_CITY_GYM(トキワのもり); role=KANTO_CERTIFICATION_GYM_LEADER; archetype=ACE; band=KANTO_LEAGUE_APPROACH_CERT_8; source_size=6->6; AI=AI_FULL_SMART; gimmick=MEGA; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_LEAGUE_01,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM(チャンピオンロード); role=KANTO_LEAGUE_BOSS; archetype=VETERAN; band=KANTO_LEAGUE_APPROACH_CERT_8; source_size=6->6; AI=AI_FULL_SMART; gimmick=Z_MOVE; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_LEAGUE_02,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM(チャンピオンロード); role=KANTO_LEAGUE_BOSS; archetype=VETERAN; band=KANTO_LEAGUE_APPROACH_CERT_8; source_size=6->6; AI=AI_FULL_SMART; gimmick=MEGA; physical_status=EXISTING_ROM_VERIFIED
ENC_KANTO_BOSS_LEAGUE_03,TASK06_KANTO,INDIVIDUALLY_REVIEWED_SOURCE_SIX,map=KANTO_DUNGEON_POKEMON_LEAGUE_AGATHAS_ROOM(チャンピオンロード); role=KANTO_LEAGUE_BOSS; archetype=VETERAN; band=KANTO_LEAGUE_APPROACH_CERT_8; source_size=6->6; AI=AI_FULL_SMART; gimmick=MEGA; physical_status=EXISTING_ROM_VERIFIED
