encounter_key,original_trainer_id,runtime_trainer_id,allocation_reason
ENC_KANTO_BOSS_GYM_01,751,751,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_02,752,752,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_03,753,753,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_04,754,754,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_05,755,755,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_06,756,756,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_07,757,757,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_08,758,758,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_01,759,759,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_02,760,760,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_03,761,761,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_04,762,762,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_05,763,763,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_ROUTE_001,4096,4096,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_002,4097,4097,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_003,4098,4098,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_004,4099,4099,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_005,4100,4100,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_006,4101,4101,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_007,4102,4102,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_008,4103,4103,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_009,4104,4104,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_010,4105,4105,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_011,4106,4106,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_012,4107,4107,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_013,4108,4108,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_014,4109,4109,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_015,4110,4110,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_016,4111,4111,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_017,4112,4112,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_018,4113,4113,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_019,4114,4114,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_020,4115,4115,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_021,4116,4116,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_022,4117,4117,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_023,4118,4118,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_024,4119,4119,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_025,4120,4120,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_026,4121,4121,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_027,4122,4122,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_028,4123,4123,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_029,4124,4124,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_030,4125,4125,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_031,4126,4126,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_032,4127,4127,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_033,4128,4128,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_034,4129,4129,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_035,4130,4130,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_036,4131,4131,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_037,4132,4132,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_038,4133,4133,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_039,4134,4134,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_040,4135,4135,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_041,4136,4136,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_042,4137,4137,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_043,4138,4138,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_044,4139,4139,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_045,4140,4140,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_046,4141,4141,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_047,4142,4142,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_048,4143,4143,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_049,4144,4144,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_050,4145,4145,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_051,4146,4146,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_052,4147,4147,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_053,4148,4148,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_054,4149,4149,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_055,4150,4150,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_056,4151,4151,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_057,4152,4152,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_058,4153,4153,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_059,4154,4154,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_060,4155,4155,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_061,4156,4156,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_062,4157,4157,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_063,4158,4158,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_064,4159,4159,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_065,4160,4160,RETAIN_KANTO_ALLOCATED_ID
ENC_KANTO_ROUTE_066,4161,4161,RETAIN_KANTO_ALLOCATED_ID
