encounter_key,reference_index,trainer_id,source_trainer_id,group_id,map_id,root_kind,root_index,local_id,x,y,story_phase,script_instruction_address,trainerbattle_kind,battle_format,party_key,party_size,party_abi,ai_profile_key,initial_or_rematch,defeat_flag_owner_trainer_id,runtime_id_resolution,format_contract,adoption_reason,exact_rom_evidence
ENC_TOHOKU_REF_0001,1,1024,1,22,1,map_script,2:0,,,,TOHOKU_BADGE1_TO_2,0x0842A553,3,SINGLE,PARTY_TOHOKU_REF_0001,2,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_BASIC,INITIAL,1,EXACT_TRAINERBATTLE_REBIND,KIND_3_SINGLE,Gym1直後のmap-script実命令0x0842A553を高ID1024へexact再束縛し、wrapper側論理別名0を除外してbadge1後の最初の必須戦を確定する。,stage33 bytes audited at 0x0842A553; kind=3; source_id=1
ENC_TOHOKU_REF_0004,4,100,100,3,21,object,11,12,11,25,TOHOKU_PROLOGUE_PRE_GYM1,0x081AAB40,7,DOUBLE,PARTY_TOHOKU_REF_0004,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,100,DIRECT_SCRIPT_ID,KIND_7_DOUBLE,map 3/21の物理object kind7を四体doubleへ接続し、同map初回・再戦の二面性を保持する。,stage32 bytes audited at 0x081AAB40; kind=7; source_id=100
ENC_TOHOKU_REF_0005,5,1026,100,3,21,object,11,12,11,25,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03600,4,DOUBLE,PARTY_TOHOKU_REF_0005,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,100,EXACT_TRAINERBATTLE_REBIND,KIND_4_DOUBLE,map 3/21の同一object kind4をV5高IDへexact再束縛し、物理flagを共有した別四体doubleとして採用する。,stage32 bytes audited at 0x08E03600; kind=4; source_id=100
ENC_TOHOKU_REF_0006,6,101,101,3,21,object,2,3,13,12,TOHOKU_BADGE1_TO_2,0x08E03380,0,SINGLE,PARTY_TOHOKU_REF_0006,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,101,DIRECT_SCRIPT_ID,KIND_0_SINGLE,badge1後に戻るmap 3/21の北西object初回kind0を四体SINGLEへ接続し、同一路線の次章帯を物理順で開始する。,stage33 bytes audited at 0x08E03380; kind=0; source_id=101
ENC_TOHOKU_REF_0007,7,1027,101,3,21,object,2,3,13,12,TOHOKU_BADGE1_TO_2,0x08E033A8,5,SINGLE,PARTY_TOHOKU_REF_0007,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,101,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,ref6と同一objectのkind5再戦を高ID1027へlocation-specificに解決し、初回101と別の四体構成を保持する。,stage33 bytes audited at 0x08E033A8; kind=5; source_id=101
ENC_TOHOKU_REF_0008,8,102,102,3,21,object,5,6,21,27,TOHOKU_BADGE1_TO_2,0x08E033C0,0,SINGLE,PARTY_TOHOKU_REF_0008,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,102,DIRECT_SCRIPT_ID,KIND_0_SINGLE,map 3/21 object5のkind0初回戦を草・電気・虫・設置の四体SINGLEとして採用し、badge1後の対応幅を広げる。,stage33 bytes audited at 0x08E033C0; kind=0; source_id=102
ENC_TOHOKU_REF_0009,9,1028,102,3,21,object,5,6,21,27,TOHOKU_BADGE1_TO_2,0x08E033E8,5,SINGLE,PARTY_TOHOKU_REF_0009,4,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,102,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,object5のkind5再戦を高ID1028へ結び、同じ物理flag owner 102のままaceだけを個別化する。,stage33 bytes audited at 0x08E033E8; kind=5; source_id=102
ENC_TOHOKU_REF_0010,10,103,103,3,21,object,9,10,13,76,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03580,0,SINGLE,PARTY_TOHOKU_REF_0010,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,103,DIRECT_SCRIPT_ID,KIND_0_SINGLE,map 3/21の物理初回戦を飛行ace中心の三体SINGLEとして採用し、序盤のタイプ一致学習を継続する。,stage32 bytes audited at 0x08E03580; kind=0; source_id=103
ENC_TOHOKU_REF_0011,11,1029,103,3,21,object,9,10,13,76,TOHOKU_PROLOGUE_PRE_GYM1,0x08E035A8,5,SINGLE,PARTY_TOHOKU_REF_0011,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,103,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,map 3/21の同一object再戦命令を高ID partyへ結び、初回戦と別の三体構成を保持する。,stage32 bytes audited at 0x08E035A8; kind=5; source_id=103
ENC_TOHOKU_REF_0014,14,105,105,3,21,object,10,11,5,49,TOHOKU_PROLOGUE_PRE_GYM1,0x08E035C0,0,SINGLE,PARTY_TOHOKU_REF_0014,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,105,DIRECT_SCRIPT_ID,KIND_0_SINGLE,map 3/21の次の物理初回戦を三体SINGLEとして採用し、連続経路の難度勾配を維持する。,stage32 bytes audited at 0x08E035C0; kind=0; source_id=105
