row_key,receiver_species_id,hatch_species_id,move_id,source_row_sha256,disposition,hatch_selected_direct_egg_membership,direct_grant,shared_grant,owner_overlay_grant,grant_on_evolution,existing_move_carry_policy_changed,acquisition_impossible_claimed,runtime_applied
SPECIES_KEY_VEGA_002:egg:4:1:1:0:0,2,1,204,ce232313434c214ba23826811485f880f6f1dc62122b1ce01086733fd1cd6f9b,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:2:2:0:1,2,1,420,1b404fa972dd3e792d9070b0c23e3f09d327115197a3ba52c543a3954b607ac7,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:3:3:0:2,2,1,13,49e526883431dbc2808c679b9d984a710eb0c19f0f1a82442b581735c0e3c7b1,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:4:4:0:3,2,1,163,4f173bb9e2f794f77bf3049484197d377c74a7261c3320e9e0dc9a2176a01a86,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:5:5:0:4,2,1,200,19b7d8e503400ecfff8d213a6b1b0e0cea832bfb0b70f3a9483bd5a7510b95d0,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:6:6:0:5,2,1,78,9ccd0f364a3615ef43b07f97d84f0491bbd93a28fb0c225d935fb2cd0b83ee27,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:7:7:0:6,2,1,326,1198120baa6b0055b81675acbeeb0c20b7159c6fb5a0b3583f3aa4acf3dea206,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:8:8:0:7,2,1,456,20703934c893e6549ea79a9ab540bcfa3ab4015d8ece1aee7816dc390aaa9dab,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:9:9:0:8,2,1,129,9649baf4e09989f34c3b13fdc0a24bd60ffa6e7651ab154a2d4a27ca19ac6613,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:10:10:0:9,2,1,444,88a59f6c9c289f95d4d64066265168697ff4a28b5231707ca395d7e7b7e19193,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:11:11:0:10,2,1,498,aeae16b51c1a5bf236964b0df64c9e85323403f097a8462194328b85e7a59bed,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:12:12:0:11,2,1,22,3da9d083487914efc2c99cb993a703f8fb56443de30e8cdb0f54b8e74fdb6a30,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:13:13:0:12,2,1,77,a79fe81c07e72449333ce6a0f0f602c3366bf183233dcdfccf13a226434304a0,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:14:14:0:13,2,1,189,0d1824a673d0e62abaef46295861215d629a20a9be5f05b4db02fdfdbfcffbfa,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:15:15:0:14,2,1,241,43afc41bd27dd2412e7130bb6afc67c8527eaf0f9adc04a7d39fcdd07ab66a92,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:16:16:0:15,2,1,79,991399c5ca6d6859959fd667da7def7c540ea4d08b806afa66ed4b519565acf9,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:17:17:0:16,2,1,174,26aadd12d00b1397a3ea277b90fa094329d604f2aab40001fe3307348388034a,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:18:18:0:17,2,1,282,bac4a9f04e6040744f9e4e2e6d1c3b55e6a5df5853328b2971d4c174fbcb0b8c,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:19:19:0:18,2,1,113,06e3ad015404f9810318b9c2d8b0627a97109672c50524cf7eebf9abe9f3134f,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:20:20:0:19,2,1,345,b4b3ec0e5163cdea578d35b53f0541d8ff0eee02600512a348c1230c100c3712,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:21:21:0:20,2,1,429,507963c7f45bd0ce4aff1f66d39177a3f63284e1a864c6a20e324b24bf0e0579,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:22:22:0:21,2,1,115,6308d0c20a9bc037af58ca3ee77c8d773aa3c36a4392239cb84f3d3e2504f389,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:23:23:0:22,2,1,210,e8930775f2803ee945fb6f554fde9b71fb4d9c11a285b9c2bfe873ca12e2d4a9,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
SPECIES_KEY_VEGA_002:egg:4:24:24:0:23,2,1,178,f3081ecc656311a57548736200b73568a4d38ad04f618d6e8104ecf205762a5e,SELECTED_HATCH_MEMBERSHIP_CARRY_REFERENCE,True,False,False,False,False,False,False,False
